STOCK,INDUSTRY_SECTOR,INDUSTRY_SECTOR_NUM,INDUSTRY_GROUP,INDUSTRY_GROUP_NUM,INDUSTRY_SUBGROUP,INDUSTRY_SUBGROUP_NUM
FII ,Financial,10008,Diversified Finan Serv,20054,Invest Mgmnt/Advis Serv,303
AMT ,Financial,10008,REITS,20057,REITS-Diversified,170
SRE ,Utilities,10014,Gas,20111,Gas-Distribution,269
CTSH ,Technology,10013,Computers,20106,Computer Services,251
KG ,"Consumer, Non-cyclical",10005,Pharmaceuticals,20044,Medical-Drugs,126
RSG ,Industrial,10011,Environmental Control,20083,Non-hazardous Waste Disp,354
CVG ,"Consumer, Non-cyclical",10005,Commercial Services,20038,Commercial Services,84
XL ,Financial,10008,Insurance,20055,Multi-line Insurance,165
EBAY ,Communications,10003,Internet,20015,E-Commerce/Products,677
NVDA ,Technology,10013,Semiconductors,20108,Electronic Compo-Semicon,256
LIFE ,"Consumer, Non-cyclical",10005,Biotechnology,20037,Medical-Biomedical/Gene,252
PBG ,"Consumer, Non-cyclical",10005,Beverages,20036,Beverages-Non-alcoholic,81
PCLN ,Communications,10003,Internet,20015,E-Commerce/Services,678
CNX ,Energy,10007,Coal,20046,Coal,134
GS ,Financial,10008,Banks,20051,Diversified Banking Inst,713
