"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"2009-39",-0.383613926,-0.03758983,-0.2966367704,-0.34634907,-0.350274132,-0.04741765,-0.911801996,-0.76242296,0.064158066,0.348314584,-0.779712454,-0.620876586,-1.269685612,-0.778985434,-0.642446634,-0.400836624,-0.361430182,-0.315104844,-0.821726016,-0.4378660872,-0.087491258,0.252652604,-0.4453576304,-0.299443672,-0.451188542,-0.610266566,-0.05420073,-0.1395436954,-0.318537994,-0.543888584
"2009-40",2.096260264,0.664822736,1.45646906,-0.644456876,1.45694322,0.5051266278,1.892240722,1.3525210372,1.190136222,0.2822915574,1.53783694,0.7869232884,1.066727366,0.959324656,0.70982906,1.23848311,1.15766492,0.67524818,1.886065032,-0.00723799433199999,-0.00989868540000001,0.5618779,0.467479172,0.9476044214,0.278549892,0.814836992,-0.4921912692,0.340167654,1.0484276848,0.773569574
"2009-41",-0.2605196464,0.2102872914,0.016119246,0.060662762,-0.25612892,0.23150395,0.35347855,1.070095394,-0.00918521999999996,0.1351056362,0.7132328818,1.096658798,-0.0625484599999999,0.408937282,0.234383208,0.037697882,-0.682828732,-0.39333537,0.0851875918,0.814083416,0.7328819998,0.389928582,0.720397996,1.013266212,-0.030962674,0.89019408,-0.1297135086,0.503147228,0.5286230892,0.36559296
"2009-42",-0.420380632,-0.34259418,-0.13390443,0.0183137076,-1.24047638976,-1.268316528,1.1459566,-0.015609404,0.1187583928,-0.6589896848,-0.52372078,0.127497346,-1.174761862,0.089094086,-0.7401236,-0.43467234,-0.17069094,0.00703021999999999,-0.322532402,0.0399362778,0.230010808,-0.442499664,1.219742992,-0.611912848,0.063123488,0.2856518438,-0.0679300992,-0.300341408,-0.360751692,0.500633714
"2009-43",-1.83370846,0.224656832,0.177864574,-0.064921962,-1.981848476,-0.828817368,-0.843327348,-0.0670778320000001,-1.12662319,0.0237776254,-0.82001384,-0.5480748354,-1.203747728,-0.463252982,-0.866252626,-0.743298902,0.02766235,-0.506185432,-1.548294602,0.354745336,-0.279314932,-0.96094772,-0.301516366,-0.265134546,0.1579125,-1.3564992,0.538658704,-0.3117212622,-1.03030885,-1.14578886
"2009-44",0.7425864988,0.450428638,1.367403192,0.2284243274,0.591197,0.7772916324,0.897249452,0.298457078,0.877081334,0.461978598,0.9753167282,0.3012186434,1.503572936,0.709862096,0.776250704,-0.095713406,0.44674312,0.442862398,0.823251172,-0.543084234,1.025304504,1.139977512,0.62091958,-0.05587904,1.034707404,1.176188334,-0.04435902,0.636487588,0.847832556,0.5361712096
"2009-45",0.463435294,0.778506054,1.641644912,0.2406001632,1.256882934,0.423377308,0.419766097,0.112588172,-0.082163316,0.711496162,0.590030886,-0.027398982,0.41371231,0.3348984662,0.9700178144,0.941144182,0.60690945,0.373214994,-0.27192426,0.0989657448,0.619836804,0.282701022,0.78155842,0.746896196,0.177267336,0.8756768752,0.38699653,0.762311022,1.322764748,0.4816424502
"2009-46",-0.0355260613999999,-0.291652218,0.303455314,-0.1600976808,0.15918773,0.416482266,-0.244956714,-0.275001574,-0.224787154,0.365326414,0.1118379614,0.531380438,-0.0540683876,0.060486152,-0.116002634,-0.550033378,-0.01899497,0.273394318,-0.183417176,0.203006562,0.144466898,1.974414592,-0.00232592999999997,0.870717668,0.0669594992,-0.00174594223999997,0.1999815492,0.4040547314,-0.287153058,-0.170784466
"2009-47",-0.354074633333333,0.336525083333333,0.618484006666667,1.32200222333333,-0.347766566666667,0.7438567,0.597609173333333,1.19108151333333,0.431100326666667,0.343078502,0.6166639,0.918594553333333,1.20952424333333,-0.0141344,0.816117816666667,0.139036386666667,0.0809123,0.5592524,-0.248760846666667,-0.464726173333333,0.219517208333333,0.06558504,0.158835013333333,0.41365494,0.565520109666667,0.142264628,1.74970704666667,0.403649526666667,0.679601643333333,0.562094754333333
"2009-48",0.0328793,0.131289034,-1.156698278,0.375322604,0.334284844,0.6646609182,-0.23581155,-0.392773436,0.359129337794,-0.195849792,-1.605341418,-0.591428812,0.053247774,-0.08436060406,0.170344676,1.160831474,-0.00092953000000002,0.318702586,-0.195194422,-0.162906946,-0.900986958,0.0861357298,0.147239114,-0.13240478,-0.0722960208,0.03089913,0.41966296874,-0.259047842,0.158488826,0.09169143
"2009-49",2.482512016,0.21762123,0.718543508,0.336375424,-0.708269956,0.362691454,-0.258897798,-0.05658605,-0.323199582,0.558945616,-0.0495169,-0.359140132,-0.35029935,0.1224843074,0.314159044,-0.568929902,0.396093326,0.1676138782,-0.375523855,0.150408784,0.0165645272,0.21453219,-0.08889709,-0.147195249,-0.0818674932,0.312779984,0.617494994,0.1501639236,0.56273352,0.894051918
"2009-50",-0.028256286,0.164490336,-0.081808942,-0.450391654,-0.6990946022,-0.78090774,-0.114783526,-0.221139754,-0.335652478,-0.7720263424,-0.254558522,-1.32636277,-0.37693566,0.59517461,0.114346262,-0.204575892,-0.268825036,-0.1030766048,0.0808389599999999,0.181942494,0.18612813,0.344007412,0.371772582,0.07863192,-0.2784917868,-0.00383101440000001,-0.536074255,-0.672897406,0.161255826,-0.134459746
